granule_id,mgrs_tile,date,source_granule_id,cloud_cover,spatial_cover,LaSRC_version,mean_view_zenith_angle,mean_view_azimuth_angle,mean_sun_zenith_angle,mean_sun_azimuth_angle,,,,,,,,,,,,,,,
HLS.L30.T12WXS.2022076T183150.v2.0,12WXS,2022-03-17,LC08_L1TP_043014_20220317_20220317_02_RT,1,100,LaSRCv3.0.5,2.58445871,179.2493874,66.10727245,167.0772828,,,,,,,,,,,,,,,
HLS.L30.T12WXS.2022107T183756.v2.0,12WXS,2022-04-17,LC09_L1TP_044014_20220417_20220418_02_T1,0,81,LaSRCv3.0.5,4.6091768,284.7861372,54.08616127,169.9029965,,,,,,,,,,,,,,,
HLS.L30.T12WXS.2022109T182556.v2.0,12WXS,2022-04-19,LC09_L1TP_042015_20220419_20220419_02_T1,3,66,LaSRCv3.0.5,5.33339267,111.9310104,53.52148775,166.9252767,,,,,,,,,,,,,,,
HLS.L30.T12WXS.2022117T182554.v2.0,12WXS,2022-04-27,LC08_L1TP_042015_20220427_20220427_02_RT,0,62,LaSRCv3.0.5,5.44812854,112.4703339,50.84556946,167.0817866,,,,,,,,,,,,,,,
HLS.L30.T12WXS.2022124T183146.v2.0,12WXS,2022-05-04,LC08_L1TP_043014_20220504_20220504_02_RT,4,100,LaSRCv3.0.5,2.62853686,174.6157239,48.66183606,168.5204712,,,,,,,,,,,,,,,
HLS.L30.T12WXS.2022221T182618.v2.0,12WXS,2022-08-09,LC09_L1TP_042015_20220809_20220809_02_T1,2,63,LaSRCv3.0.5,5.44228008,111.8710625,49.36840251,164.4751546,,,,,,,,,,,,,,,
HLS.L30.T12XXF.2021188T190021.v2.0,12XXF,2021-07-07,LC08_L1TP_048008_20210707_20210713_02_T1,2,96,LaSRCv3.0.5,3.63015462,136.9849684,49.96149917,177.082564,,,,,,,,,,,,,,,
HLS.L30.T12XXF.2021259T190655.v2.0,12XXF,2021-09-16,LC08_L1TP_049008_20210916_20210925_02_T1,3,96,LaSRCv3.0.5,2.52559023,211.5759101,70.12528588,181.8306045,,,,,,,,,,,,,,,
HLS.L30.T12XXF.2021261T185457.v2.0,12XXF,2021-09-18,LC08_L1TP_047009_20210918_20210925_02_T1,2,56,LaSRCv3.0.5,5.64993279,119.1612479,70.80854325,179.3743202,,,,,,,,,,,,,,,
HLS.L30.T12XXF.2022093T191233.v2.0,12XXF,2022-04-03,LC08_L1TP_050008_20220403_20220404_02_RT,1,87,LaSRCv3.0.5,4.38695659,286.6555469,66.9699364,180.8774498,,,,,,,,,,,,,,,
HLS.L30.T12XXF.2022095T190013.v2.0,12XXF,2022-04-05,LC08_L1TP_048008_20220405_20220405_02_RT,0,98,LaSRCv3.0.5,3.43672345,142.2078986,66.16979103,177.9623384,,,,,,,,,,,,,,,
HLS.L30.T12XXF.2022120T185426.v2.0,12XXF,2022-04-30,LC08_L1TP_047009_20220430_20220501_02_RT,0,59,LaSRCv3.0.5,5.63934154,119.2385758,57.44325534,178.3254562,,,,,,,,,,,,,,,
HLS.L30.T12XXF.2022166T190648.v2.0,12XXF,2022-06-15,LC08_L1TP_049008_20220615_20220615_02_RT,1,100,LaSRCv3.0.5,2.54433591,214.0958032,49.12093032,180.2759043,,,,,,,,,,,,,,,
HLS.L30.T12XXF.2022191T190041.v2.0,12XXF,2022-07-10,LC08_L1TP_048008_20220710_20220710_02_RT,6,97,LaSRCv3.0.5,3.61664174,137.3672423,50.29796092,177.0509729,,,,,,,,,,,,,,,
HLS.L30.T12XXF.2022239T190059.v2.0,12XXF,2022-08-27,LC08_L1TP_048008_20220827_20220827_02_RT,2,96,LaSRCv3.0.5,3.57391324,138.1526374,62.58028086,178.4469812,,,,,,,,,,,,,,,
HLS.L30.T12XXF.2022240T185454.v2.0,12XXF,2022-08-28,LC09_L1TP_047009_20220828_20220828_02_T1,5,59,LaSRCv3.0.5,5.66376109,118.6483801,62.88280923,177.3849162,,,,,,,,,,,,,,,
HLS.L30.T13QGA.2021064T171219.v2.0,13QGA,2021-03-05,LC08_L1TP_028047_20210305_20210312_02_T1,0,99,LaSRCv3.0.5,3.43316296,130.6973201,36.24819408,129.4373948,,,,,,,,,,,,,,,
HLS.L30.T13QGA.2021144T171203.v2.0,13QGA,2021-05-24,LC08_L1TP_028047_20210524_20210529_02_T1,0,100,LaSRCv3.0.5,3.29663237,135.6797889,22.49115716,79.86382561,,,,,,,,,,,,,,,
HLS.L30.T13QGA.2022059T171224.v2.0,13QGA,2022-02-28,LC09_L1TP_028047_20220228_20220228_02_T1,0,99,LaSRCv3.0.5,3.4904975,130.0917737,37.81054959,131.5807771,,,,,,,,,,,,,,,
HLS.L30.T13QGA.2022099T171210.v2.0,13QGA,2022-04-09,LC08_L1TP_028047_20220409_20220409_02_RT,7,100,LaSRCv3.0.5,3.18447149,139.6590903,26.46956314,110.6124294,,,,,,,,,,,,,,,
HLS.L30.T13QGA.2022139T171152.v2.0,13QGA,2022-05-19,LC09_L1TP_028047_20220519_20220519_02_T1,2,100,LaSRCv3.0.5,3,136,22,83,,,,,,,,,,,,,,,
HLS.L30.T13QGA.2022339T171255.v2.0,13QGA,2022-12-05,LC08_L1TP_028047_20221205_20221205_02_RT,0,100,LaSRCv3.0.5,3.30618604,135.349617,46.21201777,151.3431096,,,,,,,,,,,,,,,
HLS.L30.T13REN.2021085T172731.v2.0,13REN,2021-03-26,LC08_L1TP_031039_20210326_20210402_02_T1,5,100,LaSRCv3.0.5,2.7342774,161.9616011,35.13910234,135.3824781,,,,,,,,,,,,,,,
